Model,Category,Synopsis,Correct,Total,Proportion_Correct
claude_sonnet,sparse_retrieval,Marine Fish Conservation,55,71,0.774647887
claude_sonnet,sparse_retrieval,Marine and Freshwater Mammal Conservation,30,39,0.769230769
claude_sonnet,sparse_retrieval,Marsh and Swamp Conservation,140,181,0.773480663
claude_sonnet,sparse_retrieval,Mediterranean Farmland,40,57,0.701754386
claude_sonnet,sparse_retrieval,Natural Pest Control,12,15,0.8
claude_sonnet,sparse_retrieval,Peatland Conservation,48,62,0.774193548
claude_sonnet,sparse_retrieval,Primate Conservation,41,57,0.719298246
claude_sonnet,sparse_retrieval,Reptile Conservation,116,155,0.748387097
claude_sonnet,sparse_retrieval,Shrubland and Heathland Conservation,32,43,0.744186047
claude_sonnet,sparse_retrieval,Soil Fertility,14,19,0.736842105
claude_sonnet,sparse_retrieval,Subtidal Benthic Invertebrate Conservation,66,79,0.835443038
claude_sonnet,sparse_retrieval,Sustainable Aquaculture,15,18,0.833333333
claude_sonnet,sparse_retrieval,Terrestrial Mammal Conservation,159,188,0.845744681
gemini_flash,closed_book,Amphibian Conservation,65,91,0.714285714
gemini_flash,closed_book,Bat Conservation,38,46,0.826086957
gemini_flash,closed_book,Bee Conservation,25,38,0.657894737
gemini_flash,closed_book,Biodiversity of Marine Artificial Structures,30,35,0.857142857
gemini_flash,closed_book,Bird Conservation,198,321,0.61682243
gemini_flash,closed_book,Butterfly and Moth Conservation,73,115,0.634782609
gemini_flash,closed_book,Control of Freshwater Invasive Species,27,50,0.54
gemini_flash,closed_book,Farmland Conservation,54,73,0.739726027
gemini_flash,closed_book,Forest Conservation,28,50,0.56
gemini_flash,closed_book,Grassland Conservation,16,30,0.533333333
gemini_flash,closed_book,Management of Captive Animals,21,34,0.617647059
gemini_flash,closed_book,Marine Fish Conservation,52,71,0.732394366
gemini_flash,closed_book,Marine and Freshwater Mammal Conservation,33,39,0.846153846
gemini_flash,closed_book,Marsh and Swamp Conservation,98,181,0.541436464
gemini_flash,closed_book,Mediterranean Farmland,43,57,0.754385965
gemini_flash,closed_book,Natural Pest Control,10,15,0.666666667
gemini_flash,closed_book,Peatland Conservation,29,62,0.467741936
gemini_flash,closed_book,Primate Conservation,41,57,0.719298246
gemini_flash,closed_book,Reptile Conservation,97,155,0.625806452
gemini_flash,closed_book,Shrubland and Heathland Conservation,23,43,0.534883721
gemini_flash,closed_book,Soil Fertility,15,19,0.789473684
gemini_flash,closed_book,Subtidal Benthic Invertebrate Conservation,52,79,0.658227848
gemini_flash,closed_book,Sustainable Aquaculture,11,18,0.611111111
gemini_flash,closed_book,Terrestrial Mammal Conservation,121,188,0.643617021
gemini_flash,confused,Amphibian Conservation,87,91,0.956043956
gemini_flash,confused,Bat Conservation,45,46,0.97826087
gemini_flash,confused,Bee Conservation,37,38,0.973684211
gemini_flash,confused,Biodiversity of Marine Artificial Structures,35,35,1
gemini_flash,confused,Bird Conservation,277,321,0.862928349
gemini_flash,confused,Butterfly and Moth Conservation,112,115,0.973913044
gemini_flash,confused,Control of Freshwater Invasive Species,44,50,0.88
gemini_flash,confused,Farmland Conservation,70,73,0.95890411
gemini_flash,confused,Forest Conservation,44,50,0.88
gemini_flash,confused,Grassland Conservation,27,30,0.9
gemini_flash,confused,Management of Captive Animals,32,34,0.941176471
gemini_flash,confused,Marine Fish Conservation,61,71,0.85915493
gemini_flash,confused,Marine and Freshwater Mammal Conservation,35,39,0.897435897
gemini_flash,confused,Marsh and Swamp Conservation,172,181,0.950276243
gemini_flash,confused,Mediterranean Farmland,55,57,0.964912281
gemini_flash,confused,Natural Pest Control,15,15,1
gemini_flash,confused,Peatland Conservation,57,62,0.919354839
gemini_flash,confused,Primate Conservation,47,57,0.824561404
gemini_flash,confused,Reptile Conservation,142,155,0.916129032
gemini_flash,confused,Shrubland and Heathland Conservation,41,43,0.953488372
gemini_flash,confused,Soil Fertility,18,19,0.947368421
gemini_flash,confused,Subtidal Benthic Invertebrate Conservation,72,79,0.911392405
gemini_flash,confused,Sustainable Aquaculture,18,18,1
gemini_flash,confused,Terrestrial Mammal Conservation,169,188,0.89893617
gemini_flash,dense_retrieval,Amphibian Conservation,84,91,0.923076923
gemini_flash,dense_retrieval,Bat Conservation,40,46,0.869565217
gemini_flash,dense_retrieval,Bee Conservation,34,38,0.894736842
gemini_flash,dense_retrieval,Biodiversity of Marine Artificial Structures,31,35,0.885714286
gemini_flash,dense_retrieval,Bird Conservation,267,321,0.831775701
gemini_flash,dense_retrieval,Butterfly and Moth Conservation,88,115,0.765217391
gemini_flash,dense_retrieval,Control of Freshwater Invasive Species,43,50,0.86
gemini_flash,dense_retrieval,Farmland Conservation,64,73,0.876712329
gemini_flash,dense_retrieval,Forest Conservation,40,50,0.8
gemini_flash,dense_retrieval,Grassland Conservation,23,30,0.766666667
gemini_flash,dense_retrieval,Management of Captive Animals,31,34,0.911764706
gemini_flash,dense_retrieval,Marine Fish Conservation,53,71,0.746478873
gemini_flash,dense_retrieval,Marine and Freshwater Mammal Conservation,35,39,0.897435897
gemini_flash,dense_retrieval,Marsh and Swamp Conservation,148,181,0.817679558
gemini_flash,dense_retrieval,Mediterranean Farmland,45,57,0.789473684
gemini_flash,dense_retrieval,Natural Pest Control,15,15,1
gemini_flash,dense_retrieval,Peatland Conservation,47,62,0.758064516
gemini_flash,dense_retrieval,Primate Conservation,43,57,0.754385965
gemini_flash,dense_retrieval,Reptile Conservation,118,155,0.761290323
gemini_flash,dense_retrieval,Shrubland and Heathland Conservation,35,43,0.813953488
gemini_flash,dense_retrieval,Soil Fertility,14,19,0.736842105
gemini_flash,dense_retrieval,Subtidal Benthic Invertebrate Conservation,69,79,0.873417722
gemini_flash,dense_retrieval,Sustainable Aquaculture,17,18,0.944444444
gemini_flash,dense_retrieval,Terrestrial Mammal Conservation,157,188,0.835106383
gemini_flash,hybrid_retrieval,Amphibian Conservation,84,91,0.923076923
gemini_flash,hybrid_retrieval,Bat Conservation,44,46,0.956521739
gemini_flash,hybrid_retrieval,Bee Conservation,35,38,0.921052632
gemini_flash,hybrid_retrieval,Biodiversity of Marine Artificial Structures,33,35,0.942857143
gemini_flash,hybrid_retrieval,Bird Conservation,267,321,0.831775701
gemini_flash,hybrid_retrieval,Butterfly and Moth Conservation,100,115,0.869565217
gemini_flash,hybrid_retrieval,Control of Freshwater Invasive Species,38,50,0.76
gemini_flash,hybrid_retrieval,Farmland Conservation,69,73,0.94520548
gemini_flash,hybrid_retrieval,Forest Conservation,40,50,0.8
gemini_flash,hybrid_retrieval,Grassland Conservation,26,30,0.866666667
gemini_flash,hybrid_retrieval,Management of Captive Animals,30,34,0.882352941
gemini_flash,hybrid_retrieval,Marine Fish Conservation,54,71,0.76056338
gemini_flash,hybrid_retrieval,Marine and Freshwater Mammal Conservation,36,39,0.923076923
gemini_flash,hybrid_retrieval,Marsh and Swamp Conservation,162,181,0.895027624
gemini_flash,hybrid_retrieval,Mediterranean Farmland,51,57,0.894736842
gemini_flash,hybrid_retrieval,Natural Pest Control,15,15,1
gemini_flash,hybrid_retrieval,Peatland Conservation,54,62,0.870967742
gemini_flash,hybrid_retrieval,Primate Conservation,45,57,0.789473684
gemini_flash,hybrid_retrieval,Reptile Conservation,122,155,0.787096774
gemini_flash,hybrid_retrieval,Shrubland and Heathland Conservation,36,43,0.837209302
gemini_flash,hybrid_retrieval,Soil Fertility,15,19,0.789473684
gemini_flash,hybrid_retrieval,Subtidal Benthic Invertebrate Conservation,71,79,0.898734177
gemini_flash,hybrid_retrieval,Sustainable Aquaculture,17,18,0.944444444
gemini_flash,hybrid_retrieval,Terrestrial Mammal Conservation,160,188,0.85106383
gemini_flash,oracle,Amphibian Conservation,87,91,0.956043956
gemini_flash,oracle,Bat Conservation,46,46,1
gemini_flash,oracle,Bee Conservation,36,38,0.947368421
gemini_flash,oracle,Biodiversity of Marine Artificial Structures,35,35,1
gemini_flash,oracle,Bird Conservation,284,321,0.884735203
gemini_flash,oracle,Butterfly and Moth Conservation,112,115,0.973913044
gemini_flash,oracle,Control of Freshwater Invasive Species,45,50,0.9
gemini_flash,oracle,Farmland Conservation,70,73,0.95890411
gemini_flash,oracle,Forest Conservation,42,50,0.84
gemini_flash,oracle,Grassland Conservation,27,30,0.9
gemini_flash,oracle,Management of Captive Animals,32,34,0.941176471
gemini_flash,oracle,Marine Fish Conservation,65,71,0.915492958
gemini_flash,oracle,Marine and Freshwater Mammal Conservation,36,39,0.923076923
gemini_flash,oracle,Marsh and Swamp Conservation,174,181,0.961325967
gemini_flash,oracle,Mediterranean Farmland,55,57,0.964912281
gemini_flash,oracle,Natural Pest Control,15,15,1
gemini_flash,oracle,Peatland Conservation,59,62,0.951612903
gemini_flash,oracle,Primate Conservation,50,57,0.877192983
gemini_flash,oracle,Reptile Conservation,145,155,0.935483871
gemini_flash,oracle,Shrubland and Heathland Conservation,42,43,0.976744186
gemini_flash,oracle,Soil Fertility,19,19,1
gemini_flash,oracle,Subtidal Benthic Invertebrate Conservation,74,79,0.936708861
gemini_flash,oracle,Sustainable Aquaculture,18,18,1
gemini_flash,oracle,Terrestrial Mammal Conservation,175,188,0.930851064
gemini_flash,sparse_retrieval,Amphibian Conservation,78,91,0.857142857
gemini_flash,sparse_retrieval,Bat Conservation,42,46,0.913043478
gemini_flash,sparse_retrieval,Bee Conservation,35,38,0.921052632
gemini_flash,sparse_retrieval,Biodiversity of Marine Artificial Structures,33,35,0.942857143
gemini_flash,sparse_retrieval,Bird Conservation,234,321,0.728971963
gemini_flash,sparse_retrieval,Butterfly and Moth Conservation,96,115,0.834782609
gemini_flash,sparse_retrieval,Control of Freshwater Invasive Species,33,50,0.66
gemini_flash,sparse_retrieval,Farmland Conservation,66,73,0.904109589
gemini_flash,sparse_retrieval,Forest Conservation,37,50,0.74
gemini_flash,sparse_retrieval,Grassland Conservation,25,30,0.833333333
gemini_flash,sparse_retrieval,Management of Captive Animals,25,34,0.735294118
gemini_flash,sparse_retrieval,Marine Fish Conservation,55,71,0.774647887
gemini_flash,sparse_retrieval,Marine and Freshwater Mammal Conservation,32,39,0.820512821
gemini_flash,sparse_retrieval,Marsh and Swamp Conservation,151,181,0.834254144
gemini_flash,sparse_retrieval,Mediterranean Farmland,44,57,0.771929825
gemini_flash,sparse_retrieval,Natural Pest Control,14,15,0.933333333
gemini_flash,sparse_retrieval,Peatland Conservation,49,62,0.790322581
gemini_flash,sparse_retrieval,Primate Conservation,45,57,0.789473684
gemini_flash,sparse_retrieval,Reptile Conservation,120,155,0.774193548
gemini_flash,sparse_retrieval,Shrubland and Heathland Conservation,32,43,0.744186047
gemini_flash,sparse_retrieval,Soil Fertility,15,19,0.789473684
gemini_flash,sparse_retrieval,Subtidal Benthic Invertebrate Conservation,68,79,0.860759494
gemini_flash,sparse_retrieval,Sustainable Aquaculture,16,18,0.888888889
gemini_flash,sparse_retrieval,Terrestrial Mammal Conservation,149,188,0.792553192
gemini_pro001,closed_book,Amphibian Conservation,64,91,0.703296703
gemini_pro001,closed_book,Bat Conservation,36,46,0.782608696
gemini_pro001,closed_book,Bee Conservation,28,38,0.736842105
gemini_pro001,closed_book,Biodiversity of Marine Artificial Structures,29,35,0.828571429
gemini_pro001,closed_book,Bird Conservation,210,321,0.654205608
gemini_pro001,closed_book,Butterfly and Moth Conservation,71,115,0.617391304
gemini_pro001,closed_book,Control of Freshwater Invasive Species,32,50,0.64
gemini_pro001,closed_book,Farmland Conservation,46,73,0.630136986
gemini_pro001,closed_book,Forest Conservation,30,50,0.6
gemini_pro001,closed_book,Grassland Conservation,17,30,0.566666667
gemini_pro001,closed_book,Management of Captive Animals,22,34,0.647058824
gemini_pro001,closed_book,Marine Fish Conservation,50,71,0.704225352
gemini_pro001,closed_book,Marine and Freshwater Mammal Conservation,30,39,0.769230769
gemini_pro001,closed_book,Marsh and Swamp Conservation,97,181,0.535911602
gemini_pro001,closed_book,Mediterranean Farmland,39,57,0.684210526
gemini_pro001,closed_book,Natural Pest Control,13,15,0.866666667
gemini_pro001,closed_book,Peatland Conservation,37,62,0.596774194
gemini_pro001,closed_book,Primate Conservation,43,57,0.754385965
gemini_pro001,closed_book,Reptile Conservation,101,155,0.651612903
gemini_pro001,closed_book,Shrubland and Heathland Conservation,26,43,0.604651163
gemini_pro001,closed_book,Soil Fertility,14,19,0.736842105
gemini_pro001,closed_book,Subtidal Benthic Invertebrate Conservation,51,79,0.64556962
gemini_pro001,closed_book,Sustainable Aquaculture,11,18,0.611111111
gemini_pro001,closed_book,Terrestrial Mammal Conservation,125,188,0.664893617
gemini_pro001,confused,Amphibian Conservation,86,91,0.945054945
gemini_pro001,confused,Bat Conservation,43,46,0.934782609
gemini_pro001,confused,Bee Conservation,37,38,0.973684211
gemini_pro001,confused,Biodiversity of Marine Artificial Structures,33,35,0.942857143
gemini_pro001,confused,Bird Conservation,293,321,0.912772586
gemini_pro001,confused,Butterfly and Moth Conservation,108,115,0.939130435
gemini_pro001,confused,Control of Freshwater Invasive Species,46,50,0.92
gemini_pro001,confused,Farmland Conservation,69,73,0.94520548
gemini_pro001,confused,Forest Conservation,45,50,0.9
gemini_pro001,confused,Grassland Conservation,28,30,0.933333333
gemini_pro001,confused,Management of Captive Animals,32,34,0.941176471
gemini_pro001,confused,Marine Fish Conservation,61,71,0.85915493
gemini_pro001,confused,Marine and Freshwater Mammal Conservation,33,39,0.846153846
gemini_pro001,confused,Marsh and Swamp Conservation,168,181,0.928176796
gemini_pro001,confused,Mediterranean Farmland,56,57,0.98245614
gemini_pro001,confused,Natural Pest Control,15,15,1
gemini_pro001,confused,Peatland Conservation,57,62,0.919354839
gemini_pro001,confused,Primate Conservation,50,57,0.877192983
gemini_pro001,confused,Reptile Conservation,146,155,0.941935484
gemini_pro001,confused,Shrubland and Heathland Conservation,42,43,0.976744186
gemini_pro001,confused,Soil Fertility,18,19,0.947368421
gemini_pro001,confused,Subtidal Benthic Invertebrate Conservation,71,79,0.898734177
gemini_pro001,confused,Sustainable Aquaculture,18,18,1
gemini_pro001,confused,Terrestrial Mammal Conservation,177,188,0.941489362
gemini_pro001,dense_retrieval,Amphibian Conservation,84,91,0.923076923
gemini_pro001,dense_retrieval,Bat Conservation,39,46,0.847826087
gemini_pro001,dense_retrieval,Bee Conservation,34,38,0.894736842
gemini_pro001,dense_retrieval,Biodiversity of Marine Artificial Structures,30,35,0.857142857
gemini_pro001,dense_retrieval,Bird Conservation,287,321,0.894080997
gemini_pro001,dense_retrieval,Butterfly and Moth Conservation,93,115,0.808695652
gemini_pro001,dense_retrieval,Control of Freshwater Invasive Species,45,50,0.9
gemini_pro001,dense_retrieval,Farmland Conservation,64,73,0.876712329
gemini_pro001,dense_retrieval,Forest Conservation,44,50,0.88
gemini_pro001,dense_retrieval,Grassland Conservation,23,30,0.766666667
gemini_pro001,dense_retrieval,Management of Captive Animals,31,34,0.911764706
gemini_pro001,dense_retrieval,Marine Fish Conservation,54,71,0.76056338
gemini_pro001,dense_retrieval,Marine and Freshwater Mammal Conservation,36,39,0.923076923
gemini_pro001,dense_retrieval,Marsh and Swamp Conservation,147,181,0.812154696
gemini_pro001,dense_retrieval,Mediterranean Farmland,45,57,0.789473684
gemini_pro001,dense_retrieval,Natural Pest Control,14,15,0.933333333
gemini_pro001,dense_retrieval,Peatland Conservation,46,62,0.741935484
gemini_pro001,dense_retrieval,Primate Conservation,47,57,0.824561404
gemini_pro001,dense_retrieval,Reptile Conservation,115,155,0.741935484
gemini_pro001,dense_retrieval,Shrubland and Heathland Conservation,33,43,0.767441861
gemini_pro001,dense_retrieval,Soil Fertility,15,19,0.789473684
gemini_pro001,dense_retrieval,Subtidal Benthic Invertebrate Conservation,70,79,0.886075949
gemini_pro001,dense_retrieval,Sustainable Aquaculture,16,18,0.888888889
gemini_pro001,dense_retrieval,Terrestrial Mammal Conservation,163,188,0.867021277
gemini_pro001,hybrid_retrieval,Amphibian Conservation,82,91,0.901098901
gemini_pro001,hybrid_retrieval,Bat Conservation,41,46,0.891304348
gemini_pro001,hybrid_retrieval,Bee Conservation,36,38,0.947368421
gemini_pro001,hybrid_retrieval,Biodiversity of Marine Artificial Structures,33,35,0.942857143
gemini_pro001,hybrid_retrieval,Bird Conservation,281,321,0.875389408
gemini_pro001,hybrid_retrieval,Butterfly and Moth Conservation,97,115,0.843478261
gemini_pro001,hybrid_retrieval,Control of Freshwater Invasive Species,41,50,0.82
gemini_pro001,hybrid_retrieval,Farmland Conservation,68,73,0.931506849
gemini_pro001,hybrid_retrieval,Forest Conservation,46,50,0.92
gemini_pro001,hybrid_retrieval,Grassland Conservation,26,30,0.866666667
gemini_pro001,hybrid_retrieval,Management of Captive Animals,31,34,0.911764706
gemini_pro001,hybrid_retrieval,Marine Fish Conservation,58,71,0.816901409
gemini_pro001,hybrid_retrieval,Marine and Freshwater Mammal Conservation,38,39,0.974358974
gemini_pro001,hybrid_retrieval,Marsh and Swamp Conservation,159,181,0.878453039
gemini_pro001,hybrid_retrieval,Mediterranean Farmland,54,57,0.947368421
gemini_pro001,hybrid_retrieval,Natural Pest Control,14,15,0.933333333
gemini_pro001,hybrid_retrieval,Peatland Conservation,53,62,0.85483871
gemini_pro001,hybrid_retrieval,Primate Conservation,51,57,0.894736842
gemini_pro001,hybrid_retrieval,Reptile Conservation,129,155,0.832258065
gemini_pro001,hybrid_retrieval,Shrubland and Heathland Conservation,38,43,0.88372093
gemini_pro001,hybrid_retrieval,Soil Fertility,16,19,0.842105263
gemini_pro001,hybrid_retrieval,Subtidal Benthic Invertebrate Conservation,70,79,0.886075949
gemini_pro001,hybrid_retrieval,Sustainable Aquaculture,16,18,0.888888889
gemini_pro001,hybrid_retrieval,Terrestrial Mammal Conservation,163,188,0.867021277
gemini_pro001,oracle,Amphibian Conservation,89,91,0.978021978
gemini_pro001,oracle,Bat Conservation,43,46,0.934782609
gemini_pro001,oracle,Bee Conservation,37,38,0.973684211
gemini_pro001,oracle,Biodiversity of Marine Artificial Structures,34,35,0.971428571
gemini_pro001,oracle,Bird Conservation,300,321,0.934579439
gemini_pro001,oracle,Butterfly and Moth Conservation,109,115,0.947826087
gemini_pro001,oracle,Control of Freshwater Invasive Species,46,50,0.92
gemini_pro001,oracle,Farmland Conservation,72,73,0.98630137
gemini_pro001,oracle,Forest Conservation,46,50,0.92
gemini_pro001,oracle,Grassland Conservation,28,30,0.933333333
gemini_pro001,oracle,Management of Captive Animals,32,34,0.941176471
gemini_pro001,oracle,Marine Fish Conservation,63,71,0.887323944
