Question,Participant,Response
Q23.3_Last Click,1,138.751
Q23.3_Page Submit,1,144.265
Q24.1,1,C. Variable responses of different herb species
Q24.2,1,https://www.conservationevidence.com/actions/1779
Q24.3_Click Count,1,2
Q24.3_First Click,1,129.836
Q24.3_Last Click,1,134.381
Q24.3_Page Submit,1,140.771
Q25.1,1,A. Possible decrease in survival for some shark species
Q25.2,1,https://www.conservationevidence.com/actions/2699
Q25.3_Click Count,1,2
Q25.3_First Click,1,156.463
Q25.3_Last Click,1,199.082
Q25.3_Page Submit,1,200.823
Q26.1,1,B. It either reduces or does not alter the density of sown forb species
Q26.2,1,https://www.conservationevidence.com/actions/3433
Q26.3_Click Count,1,
Q26.3_First Click,1,
Q26.3_Last Click,1,
Q26.3_Page Submit,1,
Q27.1,1,D. Increased plant diversity and species richness
Q27.2,1,https://www.conservationevidence.com/actions/594
Q27.3_Click Count,1,2
Q27.3_First Click,1,288.052
Q27.3_Last Click,1,294.284
Q27.3_Page Submit,1,306.161
Q28.1,1,D. Increasing both electrical pulse duration and voltage
Q28.2,1,https://www.conservationevidence.com/actions/1074
Q28.3_Click Count,1,5
Q28.3_First Click,1,148.381
Q28.3_Last Click,1,157.379
Q28.3_Page Submit,1,158.736
Q29.1,1,C. Mackerel
Q29.2,1,https://www.conservationevidence.com/actions/3612
Q29.3_Click Count,1,2
Q29.3_First Click,1,305.643
Q29.3_Last Click,1,308.472
Q29.3_Page Submit,1,309.56
Q30.1,1,D. Variably effective depending on the species of cleaner wrasse
Q30.2,1,https://www.conservationevidence.com/actions/738
Q30.3_Click Count,1,2
Q30.3_First Click,1,24.98
Q30.3_Last Click,1,33.119
Q30.3_Page Submit,1,33.869
Q31.1,1,"A. Unknown effectiveness, with mixed results across studies"
Q31.2,1,https://www.conservationevidence.com/actions/1524
Q31.3_Click Count,1,2
Q31.3_First Click,1,59.131
Q31.3_Last Click,1,69.311
Q31.3_Page Submit,1,79.269
Q32.1,1,B. Leaving the headlands unfertilized
Q32.2,1,https://www.conservationevidence.com/actions/652
Q32.3_Click Count,1,3
Q32.3_First Click,1,326.617
Q32.3_Last Click,1,390.999
Q32.3_Page Submit,1,391.828
Q33.1,1,A. Increased understory biomass
Q33.2,1,https://www.conservationevidence.com/actions/1207
Q33.3_Click Count,1,4
Q33.3_First Click,1,23.843
Q33.3_Last Click,1,121.304
Q33.3_Page Submit,1,123.846
Q34.1,1,D. Creation of corridors for reptile movement and habitat connectivity
Q34.2,1,https://www.conservationevidence.com/actions/3586
Q34.3_Click Count,1,2
Q34.3_First Click,1,46.226
Q34.3_Last Click,1,69.714
Q34.3_Page Submit,1,70.985
Q35.1,1,A. Using shielded 'full cut-off' lights with blinds
Q35.2,1,https://www.conservationevidence.com/actions/3904
Q35.3_Click Count,1,3
Q35.3_First Click,1,133.044
Q35.3_Last Click,1,149.052
Q35.3_Page Submit,1,240.43
Q36.1,1,D. Increased growth rates of nearby shellfish species
Q36.2,1,https://www.conservationevidence.com/actions/932
Q36.3_Click Count,1,2
Q36.3_First Click,1,97.824
Q36.3_Last Click,1,98.648
Q36.3_Page Submit,1,102.115
Q37.1,1,D. Increase in Sphagnum moss cover
Q37.2,1,https://www.conservationevidence.com/actions/1779
Q37.3_Click Count,1,4
Q37.3_First Click,1,7.322
Q37.3_Last Click,1,92.165
Q37.3_Page Submit,1,94.092
Q38.1,1,C. Increased survival rates of released individuals
Q38.2,1,https://www.conservationevidence.com/actions/2924
Q38.3_Click Count,1,4
Q38.3_First Click,1,38.283
Q38.3_Last Click,1,275.224
Q38.3_Page Submit,1,342.617
Q39.1,1,D. Increase in shrub abundance or cover
Q39.2,1,https://www.conservationevidence.com/actions/1607
Q39.3_Click Count,1,2
Q39.3_First Click,1,211.776
Q39.3_Last Click,1,271.319
Q39.3_Page Submit,1,272.89
Q4.1,1,B. Completely excluding off-road vehicles and livestock grazing using fencing
Q4.2,1,https://www.conservationevidence.com/actions/3502
Q4.3_Click Count,1,6
Q4.3_First Click,1,6.017
Q4.3_Last Click,1,391.836
Q4.3_Page Submit,1,397.437
Q40.1,1,B. Reduced basal area of trees
Q40.2,1,https://www.conservationevidence.com/actions/1722
Q40.3_Click Count,1,
Q40.3_First Click,1,
Q40.3_Last Click,1,
Q40.3_Page Submit,1,
Q41.1,1,B. Increased combined macroalgae and invertebrate species diversity
Q41.2,1,https://www.conservationevidence.com/actions/3448
Q41.3_Click Count,1,2
Q41.3_First Click,1,177.944
Q41.3_Last Click,1,199.338
Q41.3_Page Submit,1,200.945
Q42.1,1,A. Increased activity levels and tool use
Q42.2,1,https://www.conservationevidence.com/actions/1320
Q42.3_Click Count,1,6
Q42.3_First Click,1,200.967
Q42.3_Last Click,1,436.292
Q42.3_Page Submit,1,438.329
Q43.1,1,B. Increased weed abundance
Q43.2,1,https://www.conservationevidence.com/actions/126
Q43.3_Click Count,1,4
Q43.3_First Click,1,133.762
Q43.3_Last Click,1,167.801
Q43.3_Page Submit,1,168.85
Q44.1,1,"C. The effectiveness of traditional orchards for bird conservation is currently unknown, with limited evidence showing no clear benefits"
Q44.2,1,https://www.conservationevidence.com/actions/240
Q44.3_Click Count,1,2
Q44.3_First Click,1,48.975
Q44.3_Last Click,1,63.569
Q44.3_Page Submit,1,79.138
Q45.1,1,C. Planting patches of native flowering plants within orchards
Q45.2,1,https://www.conservationevidence.com/actions/17
Q45.3_Click Count,1,4
Q45.3_First Click,1,46.977
Q45.3_Last Click,1,146.385
Q45.3_Page Submit,1,148.372
Q46.1,1,A. Retaining forested corridors with emphasis on their edge habitats
Q46.2,1,https://www.conservationevidence.com/actions/995
Q46.3_Click Count,1,3
Q46.3_First Click,1,279.556
Q46.3_Last Click,1,298.994
Q46.3_Page Submit,1,314.815
Q47.1,1,C. The devices were ineffective in deterring any of the studied species from roads
Q47.2,1,https://www.conservationevidence.com/actions/2606
Q47.3_Click Count,1,3
Q47.3_First Click,1,125.843
Q47.3_Last Click,1,131.867
Q47.3_Page Submit,1,133.292
Q48.1,1,B. Enhancing physical barriers around bomas
Q48.2,1,https://www.conservationevidence.com/actions/2415
Q48.3_Click Count,1,7
Q48.3_First Click,1,107.508
Q48.3_Last Click,1,367.994
Q48.3_Page Submit,1,388.126
Q5.1,1,D. Increased mobile invertebrate abundance on structure surfaces
Q5.2,1,https://www.conservationevidence.com/actions/3468
Q5.3_Click Count,1,2
Q5.3_First Click,1,40.013
Q5.3_Last Click,1,95.49
Q5.3_Page Submit,1,111.582
Q6.1,1,B. Colonization by macroalgae and limpets
Q6.2,1,https://www.conservationevidence.com/actions/3435
Q6.3_Click Count,1,2
Q6.3_First Click,1,265.869
Q6.3_Last Click,1,266.957
Q6.3_Page Submit,1,268.049
Q7.1,1,A. Higher plant species richness
Q7.2,1,https://www.conservationevidence.com/actions/3400
Q7.3_Click Count,1,2
Q7.3_First Click,1,94.554
Q7.3_Last Click,1,171.517
Q7.3_Page Submit,1,172.337
Q8.1,1,B. Maintain the vegetation as scrub
Q8.2,1,https://conservationevidence.com/actions/31
Q8.3_Click Count,1,2
Q8.3_First Click,1,29.481
Q8.3_Last Click,1,39.683
Q8.3_Page Submit,1,46.797
Q9.1,1,D. Increased plant species richness
Q9.2,1,https://www.conservationevidence.com/actions/3027
Q9.3_Click Count,1,2
Q9.3_First Click,1,268.724
Q9.3_Last Click,1,341.656
Q9.3_Page Submit,1,343.099
Q10.1,2,D. Increasing mesh size in multiple types of fishing gear
Q10.2,2,https://www.conservationevidence.com/actions/2697
Q10.3_Click Count,2,2
Q10.3_First Click,2,194.323
Q10.3_Last Click,2,260.114
Q10.3_Page Submit,2,261.549
Q11.1,2,A. Reduced catch of non-commercial invertebrates
Q11.2,2,https://www.conservationevidence.com/actions/2131
Q11.3_Click Count,2,2
Q11.3_First Click,2,46.639
Q11.3_Last Click,2,56.175
Q11.3_Page Submit,2,57.061
Q12.1,2,B. Higher invertebrate abundance
Q12.2,2,https://www.conservationevidence.com/actions/2071
Q12.3_Click Count,2,3
Q12.3_First Click,2,110.574
Q12.3_Last Click,2,140.86
Q12.3_Page Submit,2,154.217
Q13.1,2,C. More than 90% survival rate
Q13.2,2,https://www.conservationevidence.com/actions/1818
Q13.3_Click Count,2,2
Q13.3_First Click,2,71.815
Q13.3_Last Click,2,73.742
Q13.3_Page Submit,2,75.371
Q14.1,2,C. Adopt a fallowing period of at least 16 weeks
Q14.2,2,https://www.conservationevidence.com/actions/1026
Q14.3_Click Count,2,2
Q14.3_First Click,2,157.733
Q14.3_Last Click,2,160.805
Q14.3_Page Submit,2,162.411
Q15.1,2,A. Monitoring parasitism rates to inform spraying decisions
Q15.2,2,https://www.conservationevidence.com/actions/726
Q15.3_Click Count,2,2
Q15.3_First Click,2,225.66
Q15.3_Last Click,2,233.749
Q15.3_Page Submit,2,235.204
Q16.1,2,D. Younger plots have higher bird species diversity
Q16.2,2,https://www.conservationevidence.com/actions/356
Q16.3_Click Count,2,2
Q16.3_First Click,2,197.446
Q16.3_Last Click,2,200.435
Q16.3_Page Submit,2,202.073
Q17.1,2,B. It may reduce water runoff and increase water storage
Q17.2,2,https://www.conservationevidence.com/actions/907
Q17.3_Click Count,2,2
Q17.3_First Click,2,109.965
Q17.3_Last Click,2,127.501
Q17.3_Page Submit,2,128.61
Q18.1,2,B. Its effectiveness may vary depending on the species and local conditions
Q18.2,2,https://www.conservationevidence.com/actions/1519
Q18.3_Click Count,2,2
Q18.3_First Click,2,115.285
Q18.3_Last Click,2,119.429
Q18.3_Page Submit,2,121.46
Q19.1,2,"A. Mixed effects on density and height, with reduced survival"
Q19.2,2,https://www.conservationevidence.com/actions/3352
Q19.3_Click Count,2,2
Q19.3_First Click,2,114.992
Q19.3_Last Click,2,128.504
Q19.3_Page Submit,2,130.213
Q20.1,2,A. Stopping spraying and mowing increases northern pearl crescent abundance
Q20.2,2,https://www.conservationevidence.com/actions/3855
Q20.3_Click Count,2,5
Q20.3_First Click,2,148.27
Q20.3_Last Click,2,352.916
Q20.3_Page Submit,2,354.582
Q21.1,2,B. Flower patches may not increase bee populations in the wider landscape
Q21.2,2,https://www.conservationevidence.com/actions/17#
Q21.3_Click Count,2,2
Q21.3_First Click,2,428.291
Q21.3_Last Click,2,431.612
Q21.3_Page Submit,2,434.503
Q22.1,2,D. The impacts of group-selection harvesting vary depending on specific forest characteristics and study locations
Q22.2,2,https://www.conservationevidence.com/actions/1224
Q22.3_Click Count,2,2
Q22.3_First Click,2,83.01
Q22.3_Last Click,2,86.945
Q22.3_Page Submit,2,96.575
Q23.1,2,A. Higher concentrations and higher temperatures
Q23.2,2,https://www.conservationevidence.com/actions/1118
Q23.3_Click Count,2,2
Q23.3_First Click,2,104.069
Q23.3_Last Click,2,112.213
Q23.3_Page Submit,2,113.386
Q24.1,2,C. Variable responses of different herb species
Q24.2,2,https://www.conservationevidence.com/actions/1779
Q24.3_Click Count,2,2
Q24.3_First Click,2,178.291
Q24.3_Last Click,2,188.195
Q24.3_Page Submit,2,189.194
Q25.1,2,A. Possible decrease in survival for some shark species
Q25.2,2,https://www.conservationevidence.com/actions/2699
Q25.3_Click Count,2,2
Q25.3_First Click,2,119.924
Q25.3_Last Click,2,125.076
Q25.3_Page Submit,2,127.049
Q26.1,2,B. It either reduces or does not alter the density of sown forb species
Q26.2,2,https://www.conservationevidence.com/actions/3433
Q26.3_Click Count,2,
Q26.3_First Click,2,
Q26.3_Last Click,2,
Q26.3_Page Submit,2,
Q27.1,2,D. Increased plant diversity and species richness
Q27.2,2,https://www.conservationevidence.com/actions/594
Q27.3_Click Count,2,2
Q27.3_First Click,2,111.445
Q27.3_Last Click,2,123.317
Q27.3_Page Submit,2,124.466
Q28.1,2,D. Increasing both electrical pulse duration and voltage
Q28.2,2,https://www.conservationevidence.com/actions/1074
Q28.3_Click Count,2,2
Q28.3_First Click,2,67.161
Q28.3_Last Click,2,69.863
Q28.3_Page Submit,2,71.26
Q29.1,2,B. Soap
Q29.2,2,https://www.conservationevidence.com/actions/3613
Q29.3_Click Count,2,3
Q29.3_First Click,2,66.722
Q29.3_Last Click,2,216.737
Q29.3_Page Submit,2,218.974
Q30.1,2,D. Variably effective depending on the species of cleaner wrasse
Q30.2,2,https://www.conservationevidence.com/actions/738
Q30.3_Click Count,2,2
Q30.3_First Click,2,104.958
Q30.3_Last Click,2,107.859
Q30.3_Page Submit,2,121.61
Q31.1,2,"A. Unknown effectiveness, with mixed results across studies"
Q31.2,2,https://www.conservationevidence.com/actions/1524
Q31.3_Click Count,2,2
Q31.3_First Click,2,50.052
Q31.3_Last Click,2,54.861
Q31.3_Page Submit,2,56.074
Q32.1,2,B. Leaving the headlands unfertilized
Q32.2,2,https://www.conservationevidence.com/actions/139
Q32.3_Click Count,2,2
Q32.3_First Click,2,202.748
Q32.3_Last Click,2,203.579
Q32.3_Page Submit,2,241.501
Q33.1,2,A. Increased understory biomass
Q33.2,2,https://www.conservationevidence.com/actions/1207
Q33.3_Click Count,2,2
Q33.3_First Click,2,43.397
Q33.3_Last Click,2,46.182
Q33.3_Page Submit,2,47.194
Q34.1,2,D. Creation of corridors for reptile movement and habitat connectivity
Q34.2,2,https://www.conservationevidence.com/actions/3586
Q34.3_Click Count,2,2
Q34.3_First Click,2,89.128
Q34.3_Last Click,2,90.505
Q34.3_Page Submit,2,91.461
Q35.1,2,A. Using shielded 'full cut-off' lights with blinds
Q35.2,2,https://www.conservationevidence.com/actions/3904
Q35.3_Click Count,2,2
Q35.3_First Click,2,97.64
Q35.3_Last Click,2,152.48
Q35.3_Page Submit,2,239.278
Q36.1,2,A. Guaranteed waste consumption by all bivalve species
Q36.2,2,https://www.conservationevidence.com/actions/932
Q36.3_Click Count,2,
Q36.3_First Click,2,
Q36.3_Last Click,2,
Q36.3_Page Submit,2,
Q37.1,2,D. Increase in Sphagnum moss cover
Q37.2,2,https://www.conservationevidence.com/actions/1779
Q37.3_Click Count,2,2
Q37.3_First Click,2,76.876
Q37.3_Last Click,2,79.869
Q37.3_Page Submit,2,81.145
Q38.1,2,C. Increased survival rates of released individuals
Q38.2,2,https://www.conservationevidence.com/actions/2924
Q38.3_Click Count,2,2
Q38.3_First Click,2,87.869
Q38.3_Last Click,2,88.557
Q38.3_Page Submit,2,90.648
Q39.1,2,D. Increase in shrub abundance or cover
Q39.2,2,https://www.conservationevidence.com/actions/1607
Q39.3_Click Count,2,2
Q39.3_First Click,2,94.824
Q39.3_Last Click,2,97.768
Q39.3_Page Submit,2,99.261
Q4.1,2,B. Completely excluding off-road vehicles and livestock grazing using fencing
Q4.2,2,https://www.conservationevidence.com/actions/3502
Q4.3_Click Count,2,3
Q4.3_First Click,2,17.578
Q4.3_Last Click,2,113.265
Q4.3_Page Submit,2,114.59
Q40.1,2,B. Reduced basal area of trees
Q40.2,2,https://www.conservationevidence.com/actions/1722
Q40.3_Click Count,2,2
Q40.3_First Click,2,134.18
Q40.3_Last Click,2,140.995
Q40.3_Page Submit,2,142.607
Q41.1,2,B. Increased combined macroalgae and invertebrate species diversity
Q41.2,2,https://www.conservationevidence.com/actions/3448
Q41.3_Click Count,2,2
Q41.3_First Click,2,103.036
Q41.3_Last Click,2,117.82
Q41.3_Page Submit,2,119.001
Q42.1,2,A. Increased activity levels and tool use
Q42.2,2,https://www.conservationevidence.com/actions/1320
Q42.3_Click Count,2,
Q42.3_First Click,2,
Q42.3_Last Click,2,
Q42.3_Page Submit,2,
Q43.1,2,B. Increased weed abundance
Q43.2,2,https://www.conservationevidence.com/actions/1399
Q43.3_Click Count,2,2
Q43.3_First Click,2,393.143
Q43.3_Last Click,2,434.392
Q43.3_Page Submit,2,435.979
Q44.1,2,"C. The effectiveness of traditional orchards for bird conservation is currently unknown, with limited evidence showing no clear benefits"
Q44.2,2,https://www.conservationevidence.com/actions/240
Q44.3_Click Count,2,2
Q44.3_First Click,2,91.867
Q44.3_Last Click,2,131.716
Q44.3_Page Submit,2,133.712
Q45.1,2,C. Planting patches of native flowering plants within orchards
Q45.2,2,https://www.conservationevidence.com/actions/17
Q45.3_Click Count,2,2
Q45.3_First Click,2,474.969
Q45.3_Last Click,2,477.937
Q45.3_Page Submit,2,479.545
Q46.1,2,A. Retaining forested corridors with emphasis on their edge habitats
Q46.2,2,https://www.conservationevidence.com/actions/996
Q46.3_Click Count,2,
Q46.3_First Click,2,
Q46.3_Last Click,2,
Q46.3_Page Submit,2,
Q47.1,2,C. The devices were ineffective in deterring any of the studied species from roads
Q47.2,2,https://www.conservationevidence.com/actions/2606
Q47.3_Click Count,2,4
Q47.3_First Click,2,17.134
Q47.3_Last Click,2,54.589
Q47.3_Page Submit,2,56.138
Q48.1,2,B. Enhancing physical barriers around bomas
Q48.2,2,https://www.conservationevidence.com/actions/2417
Q48.3_Click Count,2,2
Q48.3_First Click,2,457.58
Q48.3_Last Click,2,459.115
Q48.3_Page Submit,2,461.625
Q5.1,2,D. Increased mobile invertebrate abundance on structure surfaces
Q5.2,2,https://www.conservationevidence.com/actions/3468
Q5.3_Click Count,2,2
Q5.3_First Click,2,115.399
Q5.3_Last Click,2,116.496
Q5.3_Page Submit,2,117.941
Q6.1,2,B. Colonization by macroalgae and limpets
Q6.2,2,https://www.conservationevidence.com/actions/3435
Q6.3_Click Count,2,2
Q6.3_First Click,2,59.843
Q6.3_Last Click,2,62.563
Q6.3_Page Submit,2,63.767
Q7.1,2,A. Higher plant species richness
Q7.2,2,https://www.conservationevidence.com/actions/3400
Q7.3_Click Count,2,2
Q7.3_First Click,2,55.897
Q7.3_Last Click,2,136.417
Q7.3_Page Submit,2,138.182
Q8.1,2,B. Maintain the vegetation as scrub
Q8.2,2,https://www.conservationevidence.com/actions/31
Q8.3_Click Count,2,2
Q8.3_First Click,2,82.822
Q8.3_Last Click,2,86.878
Q8.3_Page Submit,2,88.515
Q9.1,2,D. Increased plant species richness
Q9.2,2,https://www.conservationevidence.com/actions/3027
Q9.3_Click Count,2,2
Q9.3_First Click,2,82.023
Q9.3_Last Click,2,94.686
Q9.3_Page Submit,2,99.421
Q10.1,3,D. Increasing mesh size in multiple types of fishing gear
Q10.2,3,https://conservationevidence.com/actions/2697
Q10.3_Click Count,3,9
Q10.3_First Click,3,147.39
Q10.3_Last Click,3,4282.617
Q10.3_Page Submit,3,4283.627
Q11.1,3,A. Reduced catch of non-commercial invertebrates
Q11.2,3,https://conservationevidence.com/actions/2131
Q11.3_Click Count,3,4
Q11.3_First Click,3,2.39
Q11.3_Last Click,3,27.661
Q11.3_Page Submit,3,28.582
Q12.1,3,B. Higher invertebrate abundance
Q12.2,3,https://www.conservationevidence.com/actions/2071
Q12.3_Click Count,3,
Q12.3_First Click,3,
Q12.3_Last Click,3,
Q12.3_Page Submit,3,
Q13.1,3,C. More than 90% survival rate
Q13.2,3,https://conservationevidence.com/actions/1818
Q13.3_Click Count,3,4
Q13.3_First Click,3,20.486
Q13.3_Last Click,3,55.796
Q13.3_Page Submit,3,57.217
Q14.1,3,C. Adopt a fallowing period of at least 16 weeks
Q14.2,3,https://conservationevidence.com/actions/1026
Q14.3_Click Count,3,12
Q14.3_First Click,3,24.856
Q14.3_Last Click,3,247.352
Q14.3_Page Submit,3,248.178
Q15.1,3,B. Focusing solely on mechanical pest removal methods
Q15.2,3,guess
Q15.3_Click Count,3,11
Q15.3_First Click,3,77.114
Q15.3_Last Click,3,263.873
Q15.3_Page Submit,3,269.438
Q16.1,3,B. Older plots have more birds and bird species
Q16.2,3,https://conservationevidence.com/actions/1416
Q16.3_Click Count,3,11
Q16.3_First Click,3,46.062
Q16.3_Last Click,3,185.246
Q16.3_Page Submit,3,185.74
Q17.1,3,B. It may reduce water runoff and increase water storage
Q17.2,3,https://conservationevidence.com/actions/907
Q17.3_Click Count,3,8
Q17.3_First Click,3,2.811
Q17.3_Last Click,3,36.395
Q17.3_Page Submit,3,37.278
Q18.1,3,B. Its effectiveness may vary depending on the species and local conditions
Q18.2,3,https://conservationevidence.com/actions/1519
Q18.3_Click Count,3,7
Q18.3_First Click,3,4.335
Q18.3_Last Click,3,142.53
Q18.3_Page Submit,3,143.662
Q19.1,3,"A. Mixed effects on density and height, with reduced survival"
Q19.2,3,https://conservationevidence.com/actions/3352
Q19.3_Click Count,3,7
Q19.3_First Click,3,3.838
Q19.3_Last Click,3,49.408
Q19.3_Page Submit,3,50.445
Q20.1,3,A. Stopping spraying and mowing increases northern pearl crescent abundance
Q20.2,3,https://conservationevidence.com/actions/3855 [but this doesn't directly answer the question]
Q20.3_Click Count,3,11
Q20.3_First Click,3,24.264
Q20.3_Last Click,3,220.487
Q20.3_Page Submit,3,246.642
Q21.1,3,B. Flower patches may not increase bee populations in the wider landscape
Q21.2,3,https://conservationevidence.com/actions/17
Q21.3_Click Count,3,9
Q21.3_First Click,3,4.019
Q21.3_Last Click,3,105.082
Q21.3_Page Submit,3,106.286
Q22.1,3,D. The impacts of group-selection harvesting vary depending on specific forest characteristics and study locations
Q22.2,3,https://conservationevidence.com/actions/1224
Q22.3_Click Count,3,5
Q22.3_First Click,3,1306.684
Q22.3_Last Click,3,1392.038
Q22.3_Page Submit,3,1393.518
Q23.1,3,A. Higher concentrations and higher temperatures
Q23.2,3,https://conservationevidence.com/actions/1118
Q23.3_Click Count,3,7
Q23.3_First Click,3,19.453
Q23.3_Last Click,3,45.252
Q23.3_Page Submit,3,46.16
Q24.1,3,C. Variable responses of different herb species
Q24.2,3,https://conservationevidence.com/actions/1779
Q24.3_Click Count,3,8
Q24.3_First Click,3,1.985
Q24.3_Last Click,3,54.761
Q24.3_Page Submit,3,55.572
Q25.1,3,A. Possible decrease in survival for some shark species
Q25.2,3,https://conservationevidence.com/actions/2699
Q25.3_Click Count,3,10
Q25.3_First Click,3,3.527
Q25.3_Last Click,3,94.557
Q25.3_Page Submit,3,95.876
Q26.1,3,B. It either reduces or does not alter the density of sown forb species
Q26.2,3,https://conservationevidence.com/actions/3433
Q26.3_Click Count,3,14
Q26.3_First Click,3,15.213
Q26.3_Last Click,3,148.075
Q26.3_Page Submit,3,151.942
Q27.1,3,D. Increased plant diversity and species richness
Q27.2,3,https://conservationevidence.com/actions/594
Q27.3_Click Count,3,11
Q27.3_First Click,3,3.954
Q27.3_Last Click,3,62.601
Q27.3_Page Submit,3,63.34
Q28.1,3,D. Increasing both electrical pulse duration and voltage
Q28.2,3,https://conservationevidence.com/actions/1074
Q28.3_Click Count,3,7
Q28.3_First Click,3,7.197
Q28.3_Last Click,3,45.261
Q28.3_Page Submit,3,46.273
Q29.1,3,C. Mackerel
Q29.2,3,https://conservationevidence.com/actions/3612
Q29.3_Click Count,3,4
Q29.3_First Click,3,19.812
Q29.3_Last Click,3,86.247
Q29.3_Page Submit,3,87.554
Q30.1,3,D. Variably effective depending on the species of cleaner wrasse
Q30.2,3,https://conservationevidence.com/actions/738
Q30.3_Click Count,3,9
Q30.3_First Click,3,2.377
Q30.3_Last Click,3,86.175
Q30.3_Page Submit,3,87.709
Q31.1,3,"A. Unknown effectiveness, with mixed results across studies"
Q31.2,3,https://conservationevidence.com/actions/1524
Q31.3_Click Count,3,6
Q31.3_First Click,3,2.59
Q31.3_Last Click,3,36.229
Q31.3_Page Submit,3,37.3
Q32.1,3,B. Leaving the headlands unfertilized
Q32.2,3,https://conservationevidence.com/actions/139
Q32.3_Click Count,3,17
Q32.3_First Click,3,4.099
Q32.3_Last Click,3,281.32
Q32.3_Page Submit,3,282.393
Q33.1,3,A. Increased understory biomass
Q33.2,3,https://conservationevidence.com/actions/1207
Q33.3_Click Count,3,6
Q33.3_First Click,3,3.903
Q33.3_Last Click,3,59.729
Q33.3_Page Submit,3,60.816
Q34.1,3,D. Creation of corridors for reptile movement and habitat connectivity
Q34.2,3,https://conservationevidence.com/actions/3630
Q34.3_Click Count,3,7
Q34.3_First Click,3,2.399
Q34.3_Last Click,3,120.397
Q34.3_Page Submit,3,122.544
Q35.1,3,A. Using shielded 'full cut-off' lights with blinds
Q35.2,3,https://conservationevidence.com/actions/3904
Q35.3_Click Count,3,6
Q35.3_First Click,3,2.506
Q35.3_Last Click,3,67.73
Q35.3_Page Submit,3,68.998
Q36.1,3,A. Guaranteed waste consumption by all bivalve species
Q36.2,3,https://conservationevidence.com/actions/932
Q36.3_Click Count,3,11
Q36.3_First Click,3,5.213
Q36.3_Last Click,3,140.301
Q36.3_Page Submit,3,141.505
Q37.1,3,D. Increase in Sphagnum moss cover
Q37.2,3,https://conservationevidence.com/actions/1779
Q37.3_Click Count,3,8
